Title,Image,Rating,Price,Result Type
"Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",./Amazon_laptop_files/71ouu-iX3pL._AC_UY218_.jpg,5.0 out of 5 stars,"₹39,990",Ad
"HP 15 Smartchoice, Intel Core Ultra 5 125H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 15''/39.6cm, Win11, M365* Office24, Silver, 1.65kg, FD1458TU, FHD Camera, Backlit Laptop",./Amazon_laptop_files/71vhdLDaDQL._AC_UY218_.jpg,3.7 out of 5 stars,"₹84,990",Ad
"Acer Smartchoice Aspire One, Intel Core Celeron N4500, Office 2024 + M365 Basic, 12GB LPDDR4X / 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.3KG, A114-45, Thin and Light Laptop",./Amazon_laptop_files/71uoRYyilhL._AC_UY218_.jpg,3.3 out of 5 stars,"₹35,990",Organic
"HP Smartchoice Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED,16''/40.6cm, Win11, M365(1yr)*Office24, Glacier Silver, 1.59kg, fb0001QU,Next-Gen AI Laptop",./Amazon_laptop_files/71IdAMTOjZL._AC_UY218_.jpg,4.2 out of 5 stars,"₹67,889",Organic
"HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3130AX, Backlit, DTS Audio, Gaming Laptop",./Amazon_laptop_files/71r2ySSfgBL._AC_UY218_.jpg,4.2 out of 5 stars,"₹89,990",Organic
"ASUS Vivobook 15, Smartchoice,Intel Core i3 13th Gen 1315U, 16GB RAM, 512GB SSD, FHD 15.6"", Touchscreen, Win11, Office 24, M365 Basic (1Y), Quiet Blue, 1.7Kg, X1504VA-E83959WS, Intel UHD iGPU, Laptop",./Amazon_laptop_files/61LN3yfrpfL._AC_UY218_.jpg,4.3 out of 5 stars,"₹54,990",Organic
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" FHD 120Hz IPS 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light 1.63Kg",./Amazon_laptop_files/717WZ7WriwL._AC_UY218_.jpg,4.1 out of 5 stars,"₹46,490",Organic
"HP Victus, AMD Ryzen 7 7445HS, 4GB RTX 2050, 16GB DDR5(Upgradable) 512GB SSD, FHD, 144Hz, 300 nits, IPS, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fb3123AX, Backlit, Gaming Laptop",./Amazon_laptop_files/71qIJPTTD3L._AC_UY218_.jpg,4.2 out of 5 stars,"₹68,600",Organic
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",./Amazon_laptop_files/61AccNkmFFL._AC_UY218_.jpg,4.0 out of 5 stars,"₹42,999",Organic
"HP 15 (2026), Refrbishd AMD Ryzen 5 Hexa Core 7535U - (8 GB DDR5/512 GB SSD/) Thin and Light Business Laptop/15.6"" FHD Display/Turbo Silver/1.5kg",./Amazon_laptop_files/71vF+WK+vrL._AC_UY218_.jpg,5.0 out of 5 stars,"₹49,400",Organic
"HP Smartchoice Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED,16''/40.6cm, Win11, M365(1yr)*Office24, Glacier Silver, 1.59kg, fb0001QU,Next-Gen AI Laptop",./Amazon_laptop_files/71IdAMTOjZL._AC_UY218_.jpg,4.2 out of 5 stars,"₹67,889",Ad
"Dell G Series, 13th Gen Intel Core i5-13450HX, NVIDIA RTX 3050-6GB, 16GB DDR5, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, 2.65KG, G15-5530, Backlit Keyboard, Gaming Laptop",./Amazon_laptop_files/71FJAKQJ0JL._AC_UY218_.jpg,4.0 out of 5 stars,"₹78,990",Ad
"HP 15 Smartchoice, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)*Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",./Amazon_laptop_files/61ER6I1s9iL._AC_UY218_.jpg,4.2 out of 5 stars,"₹52,690",Organic
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU",./Amazon_laptop_files/61R5Ecv7i-L._AC_UY218_.jpg,4.2 out of 5 stars,"₹50,040",Organic
"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (16GB RAM/1TB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg), 83K100TDIN",./Amazon_laptop_files/71K-77wHn2L._AC_UY218_.jpg,4.6 out of 5 stars,"₹83,050",Organic
"Lenovo LOQ 13th Gen Intel Core i7-13650HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 4050 6GB/1Yr ADP Free/MSO 24/Grey/2.3Kg), 83DV01A5IN",./Amazon_laptop_files/8107BhtbdyL._AC_UY218_.jpg,4.7 out of 5 stars,"₹1,09,439",Organic
"Dell G Series, 13th Gen Intel Core i5-13450HX, NVIDIA RTX 3050-6GB, 16GB DDR5, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, 2.65KG, G15-5530, Backlit Keyboard, Gaming Laptop",./Amazon_laptop_files/71FJAKQJ0JL._AC_UY218_.jpg,4.0 out of 5 stars,"₹78,990",Organic
"HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop",./Amazon_laptop_files/71dyfY6G0aL._AC_UY218_.jpg,3.8 out of 5 stars,"₹79,990",Organic
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",./Amazon_laptop_files/71xHNSCyRsL._AC_UY218_.jpg,4.1 out of 5 stars,"₹49,950",Organic
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",./Amazon_laptop_files/71aup0IO2ZL._AC_UY218_.jpg,4.0 out of 5 stars,"₹54,790",Organic
"ASUS Vivobook 16, Smartchoice, Intel Core Ultra 5 Series 2, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Silver, 1.88kg, X1607CA-MB142WS, Intel iGPU, M365 Basic (1Year)* Laptop",./Amazon_laptop_files/714zVJcMt5L._AC_UY218_.jpg,4.4 out of 5 stars,"₹67,990",Ad
"Primebook 2 Pro (2026) | 8GB RAM, 128GB UFS Storage | 14.1-Inch FHD IPS Display | 14 Hours Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)",./Amazon_laptop_files/51CIIx6l+VL._AC_UY218_.jpg,4.4 out of 5 stars,"₹24,980",Ad
